ImageId,ClassId,defect_date,shift,operator_id,vendor,cost_per_defect,Machine_ID
0002cc93b.jpg,1,2024-01-01,Afternoon,OP-016,Vendor_C,50.96,17
0007a71bf.jpg,3,2024-01-01,Afternoon,OP-009,Vendor_C,314.64,48
000a4bcdd.jpg,1,2024-01-01,Morning,OP-015,Vendor_B,56.7,36
000f6bf48.jpg,4,2024-01-01,Morning,OP-014,Vendor_C,492.65,28
0014fce06.jpg,3,2024-01-01,Morning,OP-019,Vendor_D,339.73,9
0025bde0c.jpg,3,2024-01-01,Afternoon,OP-009,Vendor_E,303.82,9
0025bde0c.jpg,4,2024-01-01,Night,OP-004,Vendor_B,619.34,4
002af848d.jpg,4,2024-01-01,Morning,OP-007,Vendor_E,552.99,42
002fc4e19.jpg,1,2024-01-01,Afternoon,OP-008,Vendor_E,49.95,29
002fc4e19.jpg,2,2024-01-01,Morning,OP-008,Vendor_D,189.74,35
0030401a5.jpg,4,2024-01-01,Afternoon,OP-019,Vendor_A,508.32,2
0046839bd.jpg,3,2024-01-01,Night,OP-015,Vendor_A,375.59,49
005d86c25.jpg,3,2024-01-01,Morning,OP-016,Vendor_A,258.32,40
005f02e20.jpg,3,2024-01-01,Afternoon,OP-009,Vendor_C,297.79,11
005f19695.jpg,3,2024-01-01,Morning,OP-012,Vendor_A,313.48,9
008621629.jpg,4,2024-01-01,Morning,OP-016,Vendor_D,679.37,10
0088260da.jpg,3,2024-01-01,Morning,OP-004,Vendor_C,287.28,15
008d0f87b.jpg,3,2024-01-01,Morning,OP-005,Vendor_A,326.67,25
008ef3d74.jpg,1,2024-01-01,Afternoon,OP-008,Vendor_E,61.82,20
008ef3d74.jpg,2,2024-01-01,Afternoon,OP-001,Vendor_D,198.93,14
0095cd374.jpg,3,2024-01-01,Afternoon,OP-006,Vendor_D,354.2,29
00ac8372f.jpg,1,2024-01-01,Morning,OP-015,Vendor_B,61.1,9
00ac8372f.jpg,2,2024-01-01,Morning,OP-004,Vendor_D,193.37,14
00af2671f.jpg,3,2024-01-01,Afternoon,OP-011,Vendor_E,323.25,17
00bc01bfe.jpg,1,2024-01-01,Night,OP-005,Vendor_D,73.36,22
00bf8497a.jpg,3,2024-01-01,Morning,OP-018,Vendor_B,366.4,38
00c88fed0.jpg,1,2024-01-01,Night,OP-015,Vendor_D,78.85,10
00c88fed0.jpg,2,2024-01-01,Afternoon,OP-018,Vendor_D,214.65,25
00cdb56a0.jpg,3,2024-01-01,Afternoon,OP-020,Vendor_B,328.34,28
00d639396.jpg,3,2024-01-01,Afternoon,OP-013,Vendor_D,369.12,3
00e0398ad.jpg,3,2024-01-01,Morning,OP-005,Vendor_C,238.37,29
00ec97699.jpg,3,2024-01-01,Morning,OP-001,Vendor_D,332.73,9
00f1665e6.jpg,3,2024-01-01,Afternoon,OP-018,Vendor_A,351.14,4
00f6e702c.jpg,3,2024-01-01,Morning,OP-014,Vendor_A,287.48,47
01053d28f.jpg,1,2024-01-01,Night,OP-005,Vendor_C,53.62,48
010db68d1.jpg,1,2024-01-01,Afternoon,OP-006,Vendor_D,66.14,39
012a9a4c7.jpg,1,2024-01-01,Morning,OP-016,Vendor_E,56.94,15
012d29df4.jpg,3,2024-01-01,Afternoon,OP-012,Vendor_D,342.03,6
012f26693.jpg,3,2024-01-01,Morning,OP-020,Vendor_A,282.43,34
012f26693.jpg,4,2024-01-01,Afternoon,OP-018,Vendor_B,568.55,21
01338c0ea.jpg,3,2024-01-02,Afternoon,OP-002,Vendor_C,272.0,8
0139dd004.jpg,3,2024-01-02,Night,OP-013,Vendor_B,434.48,24
0141c9bf3.jpg,3,2024-01-02,Night,OP-017,Vendor_E,398.65,3
0148e9891.jpg,3,2024-01-02,Afternoon,OP-017,Vendor_D,375.7,45
014ebe543.jpg,3,2024-01-02,Afternoon,OP-016,Vendor_E,368.38,14
01540cab1.jpg,3,2024-01-02,Night,OP-018,Vendor_B,362.16,32
01661826d.jpg,1,2024-01-02,Morning,OP-008,Vendor_D,65.14,15
0167a740e.jpg,1,2024-01-02,Morning,OP-003,Vendor_E,48.15,25
016af13d0.jpg,3,2024-01-02,Morning,OP-017,Vendor_A,324.51,25
016efe618.jpg,4,2024-01-02,Morning,OP-018,Vendor_A,493.47,10
01764ee81.jpg,3,2024-01-02,Afternoon,OP-006,Vendor_C,250.12,49
017c828a1.jpg,1,2024-01-02,Afternoon,OP-008,Vendor_A,48.93,38
